Date,Open,High,Low,Close,Volume,OpenInt
20130618,10.05,10.85,9.8,10.78,425986,0
20130619,10.8,11.27,10.3,10.4,142247,0
20130620,10.29,10.5,10.27,10.4,45910,0
20130621,10.4,10.94,10.4,10.86,29789,0
20130624,10.88,10.94,10.7,10.8,43562,0
20130625,10.7,10.74,10.6,10.74,16948,0
20130626,10.6,10.7,10.41,10.7,12006,0
20130627,10.6,10.79,10.6,10.7,24126,0
20130628,10.78,10.99,10.43,10.99,46786,0
20130701,10.99,11,10.62,10.7,4097,0
20130702,10.6,10.81,10.4,10.81,13796,0
20130704,10.68,10.69,10.47,10.47,2257,0
20130705,10.42,10.45,10.3,10.45,4091,0
20130708,10.8,10.8,10.11,10.34,1571,0
20130709,10.43,10.43,10.11,10.3,5495,0
20130710,10.49,10.7,10.49,10.6,4851,0
20130711,10.67,11.73,10.6,11.7,29032,0
20130712,11.65,11.79,11.5,11.7,12212,0
20130715,12.4,12.4,12.02,12.17,18277,0
20130716,12.18,12.18,12,12.1,4650,0
20130717,12,12.1,11.8,11.8,3440,0
20130718,11.55,11.55,11.35,11.44,5957,0
20130719,11.4,11.74,11.4,11.74,2060,0
20130722,11.74,12.9,11.74,12.72,60451,0
20130723,12.79,13.6,12.79,13.15,46980,0
20130724,13.15,13.38,13.15,13.37,7351,0
20130725,13.26,13.87,13.26,13.87,31955,0
20130726,13.95,14,12.7,14,29837,0
20130729,14,14,13.8,13.89,13379,0
20130730,13.98,13.99,13.9,13.9,3863,0
20130731,14,14.1,13.55,13.7,20308,0
20130801,13.69,13.69,13.4,13.59,27109,0
20130802,13.55,13.95,13.43,13.95,23789,0
20130805,13.93,14.5,13.93,14.39,34941,0
20130806,14.7,14.7,14.31,14.39,32633,0
20130807,14.5,14.64,14.44,14.64,14464,0
20130808,14.8,15.13,14.8,15.13,65356,0
20130809,15.44,15.44,15.2,15.4,28329,0
20130812,15.45,15.48,15,15.18,12244,0
20130813,15.18,15.39,15.18,15.38,8667,0
20130814,15.5,15.5,14.96,15,29763,0
20130816,14.65,14.65,13.32,14,93578,0
20130819,14,14,13.01,13.75,124727,0
20130820,13.7,13.8,13.46,13.8,30564,0
20130821,13.89,14.1,13.83,13.98,43024,0
20130822,13.96,14.03,13.8,14,88610,0
20130823,14,14,13.81,13.99,20575,0
20130826,14,14,13.7,13.85,2823,0
20130827,13.85,13.98,13.4,13.7,116157,0
20130828,13.4,13.68,12.89,13.1,27512,0
20130829,12.9,12.9,12.4,12.61,19824,0
20130830,12.83,12.97,12.27,12.44,111276,0
20130902,12.55,13.25,12.4,13.04,13961,0
20130903,13.25,13.45,13.06,13.08,14968,0
20130904,13.25,13.25,12.5,12.85,6530,0
20130905,12.7,12.7,11.6,12.5,40279,0
20130906,12.22,12.8,12.22,12.8,10133,0
20130909,13.15,13.55,12.81,13.55,8438,0
20130910,13.57,13.99,13.57,13.9,16241,0
20130911,13.95,13.95,13.66,13.8,25500,0
20130912,13.77,13.77,13.6,13.6,200,0
20130913,13.48,13.67,13.48,13.66,866,0
20130916,13.48,13.5,13.3,13.3,1333,0
20130917,13.3,13.5,13,13.48,3092,0
20130918,13.5,13.5,12.9,13.09,12777,0
20130919,13.14,13.45,13,13,10043,0
20130920,13.1,13.1,12.9,12.9,2123,0
20130923,12.9,12.9,12.46,12.65,11411,0
20130924,12.84,12.99,12.79,12.89,18185,0
20130925,13,13.05,12.99,13.05,3491,0
20130926,13.05,13.3,13.05,13.3,9372,0
20130927,13.39,13.5,13.3,13.48,3314,0
20130930,13.5,13.5,13.4,13.4,5510,0
20131001,13.4,13.43,13.4,13.42,1506,0
20131002,13.41,13.54,13.4,13.5,5182,0
20131003,13.55,13.55,13.4,13.5,5894,0
20131004,13.57,13.57,13.35,13.5,2120,0
20131007,13.5,13.53,13.45,13.45,1420,0
20131008,13.45,13.45,13.2,13.2,3317,0
20131009,13.25,13.25,13,13,2371,0
20131010,13,13.34,13,13.3,1836,0
20131011,13.29,13.65,13.29,13.6,2259,0
20131014,13.6,13.62,13.5,13.5,1387,0
20131015,13.59,13.59,13.3,13.3,4539,0
20131016,13.4,13.5,13.06,13.25,4111,0
20131017,13.25,13.84,13.25,13.84,15985,0
20131018,13.86,14.39,13.75,14.22,23311,0
20131021,14.37,14.37,14.2,14.2,8605,0
20131022,14.37,15.44,14.26,14.55,37387,0
20131023,14.88,14.89,14.5,14.8,28857,0
20131024,14.94,15.28,14.94,15.26,10181,0
20131025,15.26,15.27,15.15,15.24,4519,0
20131028,15.26,15.26,15,15.2,9010,0
20131029,15.1,15.2,14.81,15.2,8593,0
20131030,15.2,15.34,14.82,15,30740,0
20131031,15.1,15.5,15.05,15.47,20892,0
20131104,15.45,15.9,15.45,15.7,19961,0
20131105,15.9,15.95,15.5,15.5,11089,0
20131106,15.55,15.69,15.5,15.5,8523,0
20131107,15.6,15.6,14.72,15,9557,0
20131108,14.7,15,14.7,15,5737,0
20131112,15,15,14.72,14.9,3933,0
20131113,15.2,15.2,14.75,14.8,7046,0
20131114,14.8,15.09,14.8,14.92,42150,0
20131115,15.04,15.04,14.91,14.92,4275,0
20131118,14.92,15,14.92,14.93,6426,0
20131119,14.95,15.04,14.92,15,6687,0
20131120,15,15.2,15,15.15,4397,0
20131121,15.1,15.1,14.3,15,40122,0
20131122,15,15.15,14.79,15.15,10942,0
20131125,15.15,15.15,14.8,15.05,3630,0
20131126,14.86,15.28,14.56,14.61,9186,0
20131127,14.65,14.72,14.46,14.46,14061,0
20131128,14.5,14.9,14.46,14.51,3030,0
