Date,Open,High,Low,Close,Volume,OpenInt
20140108,11.1,12.6,11.1,12.25,148893,0
20140109,12.25,12.75,12.15,12.64,108581,0
20140110,12.65,12.8,12.5,12.6,27946,0
20140113,12.45,13.5,12.45,13.29,49504,0
20140114,13,13.45,13,13.34,51781,0
20140115,13.27,13.79,13.27,13.4,24316,0
20140116,13.4,13.54,13.26,13.49,34054,0
20140117,13.5,13.87,13.5,13.75,13206,0
20140120,13.94,13.94,13.42,13.83,8744,0
20140121,13.83,14.5,13.7,14.5,105272,0
20140122,14.59,14.88,14.4,14.79,35068,0
20140123,14.78,15.3,14.65,14.79,72033,0
20140124,14.84,15,14.5,14.85,28600,0
20140127,14.8,14.89,14.16,14.89,20758,0
20140128,14.9,14.99,14.71,14.99,13486,0
20140129,15,15.25,14.86,15,22659,0
20140130,15,15,14.42,14.84,15514,0
20140131,14.95,14.95,14.21,14.3,40374,0
20140203,14.29,14.86,14.2,14.74,14059,0
20140204,14.74,14.74,14.48,14.72,13555,0
20140205,14.7,15.24,14.7,15.23,40812,0
20140206,15.33,15.84,15.33,15.6,51179,0
20140207,15.78,16.1,15.75,16.1,114511,0
20140210,16.4,17,16.4,16.8,153772,0
20140211,17.15,18.42,17.15,17.8,105704,0
20140212,17.9,17.9,17.1,17.45,89864,0
20140213,17.45,17.45,17.1,17.35,12509,0
20140214,17.26,17.5,17.21,17.45,23214,0
20140217,17.79,17.9,17.3,17.89,70534,0
20140218,18.2,18.3,17.8,17.82,63572,0
20140219,17.82,17.82,17.45,17.65,20466,0
20140220,17.5,17.6,17.4,17.6,11716,0
20140221,17.83,17.84,17.52,17.84,23294,0
20140224,17.8,17.8,17.7,17.8,7985,0
20140225,17.71,17.8,17.51,17.79,7623,0
20140226,17.79,17.79,17.22,17.49,12749,0
20140227,17.35,17.45,17.21,17.44,6827,0
20140228,17.5,17.5,17.27,17.37,13812,0
20140303,16.65,16.83,15.11,15.67,83999,0
20140304,15.69,16.9,15.69,16.45,21171,0
20140305,17.04,17.04,16.3,16.39,24740,0
20140306,16.4,16.5,15.8,16.5,16932,0
20140307,16.4,16.4,16.05,16.4,5630,0
20140310,16,16.09,15.8,16.04,8296,0
20140311,16.1,16.1,15.65,15.65,11109,0
20140312,15.36,15.99,14.5,15.1,46250,0
20140313,15,15.1,14.23,14.75,26858,0
20140314,14.1,14.63,13.66,14.4,43687,0
20140317,14.16,16,14.16,15.8,36487,0
20140318,15.88,16.05,15.4,16.05,8543,0
20140319,16,16.3,15.49,15.5,19196,0
