Date,Open,High,Low,Close,Volume,OpenInt
20140109,11.3,11.64,11.01,11.5,113220,0
20140110,11.5,11.62,11.34,11.62,23993,0
20140113,11.47,12.47,11.47,12.37,19509,0
20140114,12.1,12.37,12.1,12.24,12989,0
20140115,11.85,12.29,11.85,12.15,3074,0
20140116,12.19,12.19,11.75,11.75,6757,0
20140117,11.7,12.25,11.55,11.65,12985,0
20140120,12.06,12.06,11.72,11.9,3318,0
20140121,11.99,12.28,11.9,12.27,13562,0
20140122,12.29,12.49,12.11,12.44,18208,0
20140123,12.42,12.48,12.23,12.45,2585,0
20140124,12.3,12.48,12.01,12.25,4749,0
20140127,12.25,12.45,11.8,12.45,3343,0
20140128,12.05,12.48,12.05,12.3,3619,0
20140129,12.18,12.44,12.15,12.4,4792,0
20140130,12.35,12.4,12.34,12.4,2137,0
20140131,12.47,12.96,12.4,12.96,18093,0
20140203,12.61,12.9,12.61,12.7,2407,0
20140204,12.62,12.9,12.62,12.89,10761,0
20140205,12.89,13,12.89,12.94,5769,0
20140206,13,13.2,13,13.08,10649,0
20140207,13.19,13.2,12.85,12.85,4572,0
20140210,13.09,13.09,12.8,12.8,5645,0
20140211,13.05,13.05,12.8,13,785,0
20140212,12.87,13,12.8,13,11883,0
20140213,13,13.2,12.5,12.5,52344,0
20140214,12.87,13.2,12.61,12.85,9496,0
20140217,12.85,13,12.85,12.86,3669,0
20140218,12.86,12.86,12.51,12.51,7214,0
20140219,12.51,12.61,12.45,12.61,3307,0
20140220,12.88,12.88,12.51,12.55,3332,0
20140221,12.51,12.65,12.4,12.65,1309,0
20140224,12.88,12.88,12.79,12.88,1750,0
20140225,12.88,12.99,12.88,12.98,2600,0
20140226,12.98,12.98,12.8,12.8,438,0
20140227,12.8,12.8,12.79,12.79,1700,0
20140228,12.79,12.87,12.51,12.85,1205,0
20140303,12.6,12.6,11.4,12,24226,0
20140304,11.9,12.3,11.9,12.25,3408,0
20140305,12.35,12.48,12.1,12.1,3400,0
20140306,12.5,12.5,12,12,4750,0
20140307,12,12.2,12,12,1550,0
20140310,12,12,11.62,11.62,4078,0
20140311,11.81,11.81,11.69,11.7,707,0
20140312,11.7,11.7,11.15,11.49,7451,0
20140313,11.49,12,11.4,11.4,511,0
20140314,11.41,11.59,10.95,11.48,6758,0
20140317,11.48,11.79,11.48,11.79,1398,0
20140318,11.7,11.99,11.51,11.99,20765,0
20140319,12,12.2,11.71,12,353,0
20140320,11.75,12,11.75,11.99,684,0
20140321,11.52,11.99,11.52,11.99,45,0
20140324,11.61,11.98,11.61,11.98,165,0
20140325,11.77,12.03,11.76,12.03,2224,0
20140326,12.03,12.2,12.03,12.2,925,0
20140327,11.9,11.9,11.9,11.9,204,0
20140328,11.83,12.05,11.83,12.05,696,0
20140331,12.05,12.19,11.85,12.19,5333,0
20140401,12,12.37,12,12.37,1300,0
20140402,12,12.29,12,12.29,67,0
20140403,12.02,12.29,12.02,12.02,2469,0
20140404,12.2,12.2,12,12.19,596,0
20140407,12.15,12.15,12.02,12.15,76,0
20140408,12.15,12.15,12,12,958,0
20140409,11.9,12,11.9,12,54,0
20140410,12.01,12.01,12,12,330,0
20140411,12.08,12.08,12.08,12.08,1,0
20140414,12.1,12.1,11.6,11.98,2185,0
20140415,11.6,12,11.2,11.2,1179,0
20140416,11.94,11.94,11.32,11.79,652,0
20140417,11.89,11.89,11.57,11.57,53,0
20140422,11.3,11.85,11.3,11.8,489,0
20140423,11.34,11.35,11.34,11.35,113,0
20140424,11.36,11.36,11.34,11.34,561,0
20140425,11.35,11.59,11.34,11.59,603,0
20140428,11.55,11.55,11.2,11.5,936,0
20140429,11.5,11.55,11.21,11.21,620,0
20140502,11.27,11.54,11.27,11.54,91,0
20140505,11.28,11.28,10.9,10.9,2185,0
20140506,10.32,11,10.32,10.9,311,0
20140507,10.8,10.8,10.8,10.8,2000,0
20140508,10.9,11.15,10.9,11.15,2236,0
20140509,11.15,11.15,11.15,11.15,20,0
20140513,11.15,11.3,11,11.3,1453,0
20140514,11.55,11.55,11,11.55,5190,0
20140515,11.58,11.75,11.13,11.5,2355,0
20140516,11.5,11.5,11,11.5,1460,0
20140519,11.12,11.48,11.11,11.48,324,0
20140520,11.01,11.45,11.01,11.45,230,0
20140521,11.04,11.35,11.03,11.35,1006,0
20140522,11.25,11.25,11.09,11.09,992,0
20140523,11,11.2,11,11.19,1040,0
20140526,11.1,11.1,11.01,11.04,671,0
20140527,11,11,10.61,10.85,736,0
20140528,10.85,10.85,10.85,10.85,1526,0
20140529,10.82,10.82,10.42,10.5,1472,0
20140530,11,11,10.65,10.65,1507,0
20140602,11,11,11,11,1000,0
20140603,11.05,11.2,10.6,11.13,8344,0
20140604,11,11,11,11,20,0
20140605,11.14,11.4,11.14,11.4,375,0
20140609,11.15,11.43,11.15,11.43,733,0
20140610,11.15,11.5,11.15,11.26,1525,0
20140611,11.26,11.34,11,11.34,1368,0
20140612,11.34,11.34,11,11,1200,0
20140613,11,11,10.9,10.9,500,0
20140616,11.29,11.29,11.29,11.29,5,0
20140617,11,11,11,11,172,0
20140618,11.27,11.27,11.27,11.27,33,0
20140620,10.9,11.28,10.8,11.28,435,0
20140626,11.25,11.25,10.7,11.23,338,0
20140701,10.84,11.23,10.84,11.23,304,0
20140702,11.2,11.2,11.2,11.2,20,0
20140703,11.2,11.2,10.85,11.19,1338,0
20140704,11.19,11.19,10.86,11.17,56,0
20140707,11.16,11.17,11.1,11.1,160,0
20140708,11.25,11.25,11.2,11.2,105,0
20140709,11.25,11.25,11.25,11.25,397,0
20140710,11.25,11.25,11,11,11,0
20140711,11.15,11.15,10.86,10.86,42,0
20140715,10.9,10.9,10.9,10.9,1000,0
20140716,10.9,10.9,10.86,10.86,961,0
20140717,10.86,10.86,10.8,10.85,612,0
20140721,10.51,10.8,10.51,10.8,34,0
20140723,10.46,10.7,10.46,10.6,775,0
20140724,10.79,10.79,10.46,10.46,507,0
20140725,10.41,10.41,10.41,10.41,12,0
20140728,9.92,10.39,9.92,10.39,117,0
20140729,10.3,10.8,10.3,10.8,1682,0
20140730,10.8,10.8,10.4,10.8,185,0
20140731,9.8,10.8,9.8,10.8,11421,0
20140801,10.8,10.8,10.8,10.8,10,0
20140804,10.92,10.98,10.89,10.89,2498,0
20140805,11,11,11,11,5,0
20140806,10.7,10.7,10.7,10.7,10,0
20140807,10.48,10.98,10.48,10.98,308,0
20140811,10.42,10.86,10.42,10.86,160,0
20140812,10.98,10.98,10.98,10.98,30,0
20140813,10.41,10.41,10.37,10.37,786,0
20140814,10.36,10.89,10.36,10.89,1020,0
20140818,10.97,10.97,10.97,10.97,505,0
20140819,10.92,10.92,10.47,10.86,334,0
20140820,10.85,10.85,10.47,10.7,46,0
20140822,10.51,10.7,10.51,10.7,325,0
20140825,10.69,10.7,10.69,10.7,116,0
20140827,10.69,10.85,10.69,10.73,7409,0
20140828,10.73,10.99,10.73,10.85,12668,0
20140829,10.96,11.25,10.96,11.25,471,0
20140901,10.5,11,10.5,11,5107,0
20140903,11,11,11,11,5,0
20140904,10.71,10.93,10.71,10.93,276,0
20140905,10.93,11.01,10.93,11.01,1030,0
20140908,11.15,11.15,10.52,10.52,1191,0
20140909,10.99,10.99,10.99,10.99,1,0
20140910,10.55,10.55,10.55,10.55,95,0
20140911,10.56,11,10.56,11,1030,0
20140912,10.73,10.73,10.73,10.73,300,0
20140915,10.99,10.99,10.99,10.99,1,0
20140916,10.73,10.99,10.72,10.99,425,0
20140917,10.72,10.97,10.5,10.97,858,0
20140918,10.95,10.95,10.52,10.52,593,0
20140919,10.91,10.91,10.91,10.91,3,0
20140922,10.9,10.9,10.9,10.9,1,0
20140923,10.6,10.89,10.6,10.89,200,0
20140924,10.5,10.9,10.5,10.9,34,0
20140925,10.89,10.89,10.89,10.89,1,0
20140926,10.41,10.41,10.38,10.38,994,0
20140929,10.53,10.57,10.15,10.15,593,0
20140930,10.62,10.62,10.62,10.62,2,0
20141001,10.88,10.88,10.3,10.7,603,0
20141002,10.63,10.63,10.63,10.63,2,0
20141003,10.63,10.63,10.3,10.32,230,0
20141006,10.63,10.63,10.63,10.63,1,0
20141007,10.58,10.58,10.58,10.58,5,0
20141008,10.53,10.53,10.53,10.53,1,0
20141009,10.52,10.52,10.52,10.52,1,0
20141010,10.3,10.52,10.15,10.5,287,0
20141013,10.3,10.48,10.3,10.48,42,0
20141014,10.31,10.5,10.31,10.5,36,0
20141015,10.31,10.48,10.15,10.48,135,0
20141016,10.15,10.57,10,10.43,861,0
20141017,10.42,10.42,10.03,10.42,99,0
20141020,10.42,10.42,10.42,10.42,1,0
20141021,10.34,10.34,10.25,10.25,169,0
20141022,10.3,10.3,10.11,10.11,102,0
20141023,10.15,10.3,10.15,10.16,144,0
20141024,10.2,10.3,10.2,10.3,123,0
20141027,10.02,10.02,10.02,10.02,245,0
20141028,10.3,10.3,9.88,10.28,398,0
20141029,10,10.25,9.91,10.25,303,0
20141030,10.2,10.2,10.2,10.2,2,0
20141031,9.95,10.2,9.92,10.2,480,0
20141104,10.2,10.2,10.2,10.2,1,0
20141105,10,10.45,10,10.45,605,0
20141106,10.44,11.3,10.44,11.3,4000,0
20141107,10.54,10.79,10.5,10.79,1393,0
20141110,11.28,11.28,11.28,11.28,2,0
20141112,10.69,10.88,10.37,10.88,1135,0
20141113,11,11,11,11,1,0
20141117,10.95,10.95,10.95,10.95,1,0
20141118,10.85,10.85,10.85,10.85,1,0
20141119,10.36,10.82,10.36,10.82,305,0
20141120,10.8,10.8,10.8,10.8,10,0
20141121,10.74,10.74,10.74,10.74,100,0
20141124,10.72,10.72,10.71,10.72,105,0
20141125,10.55,10.69,10.55,10.69,64,0
20141126,10.67,10.67,10.67,10.67,1,0
20141127,10.43,10.43,10.43,10.43,109,0
20141128,10.43,10.62,10.4,10.62,1005,0
20141201,10.62,10.62,10.62,10.62,1,0
20141202,10.62,10.62,10.62,10.62,1,0
20141203,10.4,10.61,10.4,10.61,452,0
20141204,10.62,10.62,10.62,10.62,1,0
20141205,10.31,10.4,10.31,10.32,984,0
20141208,10.31,10.62,10.31,10.62,54,0
20141209,10.61,10.61,10.61,10.61,19,0
20141210,10.4,10.4,10.4,10.4,1,0
20141211,10.32,10.59,10.32,10.59,278,0
20141212,9.89,10.46,9.89,10.46,12,0
20141215,10.45,10.72,10.45,10.72,1441,0
20141216,10.45,10.45,10,10.44,6912,0
20141217,10.44,10.7,10.44,10.7,3871,0
20141218,10.6,10.6,10.25,10.25,7321,0
20141219,10.31,10.7,10.31,10.32,590,0
20141222,10.26,10.26,10,10,12558,0
20141223,9.95,10.47,9.8,10,7573,0
20141229,10,10.4,10,10.4,3086,0
20141230,10.01,10.58,10.01,10.5,11696,0
