Date,Open,High,Low,Close,Volume,OpenInt
20111012,3.29,3.29,2.8,3.08,134755,0
20111013,3.12,3.12,2.95,3.09,8034,0
20111014,3.03,3.05,2.9,3.05,6694,0
20111017,2.95,3.03,2.8,2.8,9395,0
20111018,2.78,2.9,2.69,2.85,3366,0
20111019,3,3,2.85,2.9,4260,0
20111020,2.79,2.99,2.79,2.99,4401,0
20111021,2.85,2.99,2.84,2.95,1726,0
20111024,2.99,3.3,2.99,3.3,6732,0
20111025,3.15,3.45,3,3.45,16294,0
20111026,3.26,3.8,3.25,3.75,5433,0
20111027,3.62,3.82,3.61,3.82,10818,0
20111028,3.84,4.17,3.7,4.13,26265,0
20111031,4.1,4.1,3.95,4.03,587,0
20111102,3.9,3.98,3.9,3.98,600,0
20111103,3.98,3.98,3.98,3.98,551,0
20111104,3.99,3.99,3.95,3.96,677,0
20111107,3.97,3.97,3.95,3.95,5403,0
20111108,3.96,4.03,3.9,3.9,1921,0
20111109,3.8,3.95,3.7,3.89,2150,0
20111110,3.89,3.9,3.83,3.83,8940,0
20111114,3.94,4.11,3.3,3.92,8328,0
20111115,3.92,3.92,3.85,3.92,1112,0
20111117,3.92,3.92,3.76,3.92,6027,0
20111118,3.92,3.92,3.92,3.92,10,0
20111121,3.92,3.92,3.7,3.7,1600,0
20111122,3.73,3.86,3.73,3.86,905,0
20111123,3.74,3.82,3.7,3.8,1420,0
20111124,3.75,3.75,3.75,3.75,1000,0
20111125,3.65,3.74,3.3,3.74,5863,0
20111128,3.58,3.74,3.58,3.74,2300,0
20111129,3.74,3.74,3.65,3.71,1295,0
20111130,3.74,3.74,3.6,3.6,1701,0
20111201,3.58,3.58,3.58,3.58,10,0
20111202,3.74,3.74,3.5,3.56,1310,0
20111205,3.74,3.74,3.58,3.58,739,0
20111206,3.6,3.74,3.6,3.74,7000,0
20111207,3.74,3.79,3.6,3.79,10877,0
20111208,3.86,3.86,3.86,3.86,5,0
20111209,3.8,3.8,3.8,3.8,2,0
20111212,3.84,3.84,3.75,3.75,1602,0
20111213,3.8,3.8,3.71,3.77,2601,0
20111214,3.8,3.8,3.72,3.8,7301,0
