Date,Open,High,Low,Close,Volume,OpenInt
20110616,37,38,29.6,29.62,16080,0
20110617,30,31.3,26.5,26.5,2010,0
20110620,27.01,27.65,25,25.1,2620,0
20110621,25,27.3,22.9,26.5,1620,0
20110622,26,26.5,24.9,26.5,4050,0
20110624,26.99,27.5,25.5,27.5,1790,0
20110627,26,26,24.2,26,470,0
20110628,25.1,27.2,24,27.2,1070,0
20110629,27.2,27.2,24.31,24.31,1560,0
20110630,24.6,27.1,24.6,26.5,150,0
20110701,26.4,27.19,25,26.1,460,0
20110704,26.1,26.1,26.1,26.1,40,0
20110705,26.3,26.55,26.3,26.55,60,0
20110706,26.55,27.19,26.55,27.19,40,0
20110707,26.55,27.5,26.2,27.5,4800,0
20110708,27.5,27.5,27,27.49,3210,0
20110711,27.5,27.5,26,27,180,0
20110712,27,27,27,27,121,0
20110713,26.8,26.8,25,25.6,265,0
20110714,25.9,26.2,25.85,26.2,1095,0
20110715,26,26,25,26,154,0
20110718,25.7,26,24.9,26,805,0
20110719,26,26,26,26,1479,0
20110720,26,26.6,26,26,130,0
20110721,25.9,25.9,25,25,200,0
20110722,24.55,24.55,24.55,24.55,125,0
20110725,24.71,24.71,24.71,24.71,50,0
20110726,24.7,24.99,24.7,24.99,65,0
20110727,25.25,27,25.25,25.5,1060,0
20110728,26.7,26.7,26.5,26.5,50,0
20110802,26.9,26.9,24.7,24.7,115,0
20110803,24.7,24.71,24.7,24.71,52,0
20110804,24.7,25.1,24.5,24.5,850,0
20110805,24.5,24.5,22.9,24.5,3026,0
20110808,24.5,25.35,24.5,24.51,1104,0
20110809,25,27,25,27,406,0
20110810,27,27,27,27,25,0
20110812,26.9,26.9,26.8,26.8,4,0
20110816,26.6,26.6,26.6,26.6,2,0
20110817,26.5,26.5,26.5,26.5,5,0
20110818,26.5,26.5,24.5,24.5,53,0
20110819,24.5,24.51,24.5,24.51,4,0
20110822,25,25,25,25,2,0
20110824,25,26,25,26,4,0
20110825,26,27,26,27,67,0
20110826,27,27,27,27,3,0
20110829,27,27,26.9,27,15,0
20110830,27,27,26.6,27,70,0
20110831,27,27,26.6,27,15,0
20110901,27,27,27,27,2,0
20110902,27,27,27,27,3,0
20110906,26.6,28,26.6,26.6,35,0
20110915,26.1,26.1,25,25,21,0
20110916,25.5,25.5,25.5,25.5,100,0
20110919,25,25,25,25,25,0
20110920,24.3,24.3,24.3,24.3,580,0
20110921,24.3,24.3,24,24,105,0
20110922,23.5,23.5,23.1,23.1,48,0
20110923,23.2,23.35,23.2,23.3,90,0
20110926,23.3,23.35,22.25,22.25,1010,0
20110928,22.2,22.2,20.79,20.79,935,0
20110929,20.81,21,20.81,21,15,0
20110930,21.2,24.2,21.2,24.2,220,0
20111003,24.2,24.2,23.5,23.5,15,0
20111004,23.8,24.2,18,18,1995,0
20111005,18.5,19.99,17.1,17.8,580,0
20111007,17.5,17.5,14,15,570,0
20111010,15,18,15,17,441,0
20111011,17.5,20,17.5,19,50,0
20111012,19,21.5,19,20.2,952,0
20111013,20,20.3,20,20.3,45,0
20111017,20.3,21,20.3,21,40,0
20111018,21,21,21,21,10,0
20111019,21,23,21,23,65,0
20111020,22.5,22.5,22.5,22.5,10,0
20111024,22.25,22.25,22.25,22.25,10,0
20111025,22,22,17.3,20,463,0
20111026,19.8,20,19.8,20,16,0
20111027,19.9,21,16,16,4065,0
20111028,17,20,17,20,83,0
20111031,20,20,20,20,5,0
20111102,20,20,20,20,5,0
20111103,20,20,20,20,5,0
20111104,20,20,20,20,5,0
20111107,20,20,20,20,5,0
20111109,20,20,20,20,5,0
20111110,19.95,19.95,19.95,19.95,5,0
20111114,19.9,19.9,19.9,19.9,5,0
20111115,19.9,19.9,19.5,19.5,10,0
20111116,19.4,19.4,19.4,19.4,5,0
20111121,19.3,19.3,19.3,19.3,5,0
20111122,19.3,22,17,22,627,0
20111123,22,22,18.5,18.5,170,0
20111124,18.5,18.5,18.5,18.5,10,0
20111125,18.5,18.5,18.5,18.5,10,0
20111128,18.5,18.5,18.5,18.5,10,0
20111129,18.5,18.5,18.5,18.5,10,0
20111130,18.5,19,18.5,19,1271,0
20111205,18.5,18.55,18.5,18.5,40,0
20111206,18.5,18.51,18.5,18.5,130,0
20111207,18.5,18.51,18.5,18.5,649,0
20111208,18.5,18.5,18.5,18.5,20,0
20111209,18.5,18.5,18.5,18.5,20,0
20111212,18.5,18.5,18.5,18.5,10,0
20111213,18.5,18.5,18.5,18.5,10,0
20111214,18.5,19.5,18.5,19.5,50,0
20111215,19.5,19.75,19.5,19.75,20,0
20111216,20,24,20,24,270,0
20111219,24,29,24,26,147,0
20111220,27,28,27,28,6,0
20111221,28,28,28,28,5,0
20111222,27.5,27.5,27.5,27.5,5,0
20111223,26.95,27,26.95,27,7605,0
20111227,27,27,23.5,23.5,80,0
20111228,25,27,25,27,2952,0
20111229,27,27,26.9,27,189,0
20111230,27,32,26.5,32,805,0
20120102,32,32,32,32,10,0
20120103,31.9,31.9,31.9,31.9,5,0
20120104,31.75,31.75,31.75,31.75,5,0
20120105,31.9,31.9,31.9,31.9,14,0
20120109,31.9,31.9,31.9,31.9,5,0
20120110,31.9,31.95,31.9,31.95,25,0
20120111,31.95,31.95,31.95,31.95,5,0
20120112,31,31,31,31,5,0
20120113,31,31,31,31,5,0
20120117,30.3,30.3,30,30,10,0
20120118,30,30,30,30,5,0
20120119,30,30,30,30,5,0
20120120,30,30,30,30,5,0
20120126,28.6,28.6,27,27,7,0
20120130,28.5,28.5,28.5,28.5,1,0
20120201,28,28,28,28,5,0
20120202,28,28,28,28,5,0
20120203,28,28,28,28,5,0
20120206,28,28,28,28,5,0
20120207,28,28.3,27.99,28.3,38,0
20120209,28.6,30,28.6,29,110,0
20120210,29,29,29,29,5,0
20120213,29,29,29,29,2,0
20120215,29.5,30,29.5,30,234,0
20120216,30,30,29.5,29.5,105,0
20120217,29.6,30,29.6,30,70,0
20120220,30,30,30,30,165,0
20120221,30,30,29,30,118,0
20120222,29.9,29.95,29,29,155,0
20120223,28.8,30,28.8,29.9,361,0
20120224,29.9,34,28.5,34,584,0
20120227,33.99,33.99,30,30,164,0
20120228,30,31.6,29.3,31.6,225,0
20120229,30.1,31.6,29,29.9,652,0
20120301,29.9,29.9,29.2,29.7,107,0
20120302,29.3,29.9,29.3,29.3,174,0
20120305,29.4,29.6,29.4,29.4,33,0
20120306,29.45,29.65,29.4,29.65,60,0
20120307,29.65,29.65,29.2,29.2,5,0
20120308,29.65,29.65,29.3,29.4,10,0
20120309,29.65,29.65,29.3,29.4,15,0
20120312,29.4,29.4,29.4,29.4,185,0
20120313,29.4,29.4,29.4,29.4,2,0
20120314,29.4,30,29.4,30,552,0
20120315,30,30,29.3,29.3,110,0
20120316,29.3,29.3,29.3,29.3,2,0
20120320,29.3,29.3,29.3,29.3,2,0
20120321,29.3,29.3,29.3,29.3,3,0
20120322,29.3,29.3,29.3,29.3,4,0
20120323,29.3,29.3,29.3,29.3,5,0
20120326,29.3,29.3,29.3,29.3,5,0
20120328,29.3,29.3,29,29,64030,0
20120329,29.3,29.3,29,29,10,0
20120330,29,29,29,29,10006,0
20120402,29,29,28.9,28.9,1080,0
20120404,29.3,30.5,29.3,29.75,640,0
20120405,29.75,30.5,28,30.5,405,0
20120410,30.5,30.7,29,30.7,618,0
20120411,29.9,31.5,29,31.5,1451,0
20120412,31.5,32.5,30,32.5,1324,0
20120413,32.5,34,31,33,816,0
20120416,32.8,34,31.25,34,530,0
20120417,33.7,34,31.5,34,250,0
20120418,32.5,34.4,30,34.4,1235,0
20120419,34.4,34.5,31,34.5,621,0
20120420,34.5,34.5,29.5,34.5,1345,0
20120423,34,34,29.6,33.5,300,0
20120424,31.5,34.9,31.5,34.9,1850,0
20120425,34,38.5,33.5,34,5038,0
20120426,34,34,30,34,90,0
20120427,34,34,30,34,825,0
20120430,33.99,34,29.6,34,1085,0
20120502,34,34,34,34,5,0
20120504,34,34,34,34,5,0
20120507,34,34,34,34,10,0
20120508,34,40,34,34,172,0
20120509,34,34,34,34,40,0
20120510,34,34,32.5,33.5,100,0
20120511,32,33.25,31.45,32.9,415,0
20120514,32.9,32.9,32.9,32.9,4,0
20120515,32.9,32.9,31.45,31.45,90,0
20120516,31.6,32.9,31.6,32.9,93,0
20120517,32.9,32.9,30.5,32.8,455,0
20120518,32.9,32.9,31.3,32,106,0
20120521,31,31,31,31,5,0
20120522,30.9,30.9,30.9,30.9,3,0
20120523,30.9,30.9,30.9,30.9,2,0
20120524,30.9,30.9,30.9,30.9,2,0
20120525,30.7,30.7,30.7,30.7,1,0
20120528,30,30,29,29,99,0
20120605,29.4,29.4,29.4,29.4,2,0
20120608,31,31,31,31,1000,0
20120611,31,31,29,29,94,0
20120612,29.3,29.3,29.3,29.3,2,0
20120615,29,29.7,29,29.7,1730,0
20120622,29.6,29.6,29.6,29.6,2,0
20120625,29.59,29.59,29.59,29.59,85,0
20120627,28.7,29.6,28.5,29.6,288,0
20120628,29.1,29.5,28.6,29.5,178,0
20120629,29.5,29.5,29.45,29.45,53,0
20120702,28.5,28.5,27.97,28.41,148,0
20120713,28.2,28.2,28.2,28.2,100,0
20120719,28.2,28.2,28.2,28.2,4,0
20120720,28.2,28.2,28.2,28.2,2,0
20120723,28.2,28.2,28.2,28.2,2,0
20120724,28.2,28.2,28.2,28.2,2,0
20120725,28.2,28.2,28.2,28.2,2,0
20120726,28.2,28.2,28.19,28.2,25,0
20120727,28.2,28.2,26.46,28,191,0
20120730,28.2,28.2,26.35,26.5,157,0
20120731,26.5,27.9,26.5,27.85,108,0
20120801,27.9,27.9,27.9,27.9,2,0
20120802,27.9,27.9,27.9,27.9,2,0
20120803,27.9,27.9,27.9,27.9,2,0
20120806,27.9,27.9,27.9,27.9,2,0
20120807,25.91,27.9,25.91,27.9,130,0
20120808,27.9,27.9,27.9,27.9,2,0
20120809,27.9,27.9,27.9,27.9,2,0
20120810,27.9,27.9,27.9,27.9,2,0
20120813,27.3,27.3,26.1,26.1,123,0
20120820,26.18,27.9,26.18,27.9,130,0
20120822,27.9,27.9,27.9,27.9,2,0
20120823,27.9,27.9,26.06,27.9,131,0
20120824,27.9,27.9,27.9,27.9,2,0
20120827,27.85,27.85,27.85,27.85,34000,0
20120828,27.9,27.9,26.06,26.06,63,0
20120829,26,27.9,25.99,27.9,96,0
20120831,27.9,27.9,27.9,27.9,1,0
20120903,26,26.5,25.99,26.5,540,0
20120904,26.5,26.5,26.5,26.5,1,0
20120905,26.5,26.5,26.5,26.5,1,0
20120906,26.5,26.5,26.5,26.5,1,0
20120907,26.5,26.5,26.49,26.5,230,0
20120910,26.5,26.5,25,25,25,0
20120919,25.1,26.5,25.1,26.5,180,0
20120920,26.5,26.5,26.5,26.5,1,0
20120921,26.5,26.5,26.5,26.5,1,0
20120924,26.5,26.5,26.5,26.5,1,0
20120925,26.5,26.5,26.5,26.5,1,0
20120926,26.5,26.5,26.5,26.5,1,0
20120927,26.5,26.5,26.5,26.5,1,0
20121001,27.5,27.5,27.5,27.5,58,0
20121002,27.5,27.5,27.5,27.5,1,0
20121003,27.5,27.5,27.5,27.5,1,0
20121004,27.5,27.5,27.5,27.5,2,0
20121005,27.5,27.5,27.5,27.5,1,0
20121008,27.5,27.5,27.5,27.5,1,0
20121009,27.5,27.5,27.5,27.5,1,0
20121010,27.5,27.5,27.5,27.5,1,0
20121011,27.5,27.5,27.5,27.5,1,0
20121012,27.5,27.5,27.5,27.5,1,0
20121015,27.5,27.5,27.5,27.5,1,0
20121016,27.5,27.5,27.5,27.5,1,0
20121017,27.5,27.5,26.48,26.48,98,0
20121024,26,26,26,26,5,0
20121025,26,26,26,26,1,0
20121026,26,26,26,26,1,0
20121029,26,26,26,26,1,0
20121030,26,26,24.76,25.5,41,0
20121031,25.8,26,25.8,26,107,0
20121102,26,26,26,26,1,0
20121105,26,26,25.55,25.55,3,0
