Date,Open,High,Low,Close,Volume,OpenInt
20120611,0.39,0.39,0.29,0.3,304634,0
20120612,0.32,0.32,0.2,0.2,250051,0
20120613,0.2,0.24,0.2,0.21,34678,0
20120614,0.23,0.28,0.23,0.25,55620,0
20120615,0.29,0.29,0.24,0.25,61202,0
20120618,0.24,0.26,0.23,0.23,7249,0
20120619,0.25,0.25,0.24,0.25,16143,0
20120620,0.25,0.26,0.25,0.25,2200,0
20120621,0.25,0.26,0.25,0.26,491,0
20120622,0.26,0.26,0.26,0.26,185,0
20120625,0.26,0.26,0.26,0.26,161,0
20120626,0.25,0.25,0.25,0.25,1000,0
20120627,0.24,0.24,0.23,0.24,18110,0
20120628,0.25,0.25,0.25,0.25,101176,0
20120629,0.25,0.25,0.25,0.25,600,0
20120702,0.25,0.26,0.24,0.24,5300,0
20120703,0.24,0.24,0.24,0.24,12357,0
20120704,0.24,0.24,0.24,0.24,800,0
20120705,0.24,0.24,0.24,0.24,1000,0
20120706,0.25,0.25,0.23,0.23,3550,0
20120709,0.23,0.23,0.23,0.23,13688,0
20120710,0.22,0.23,0.22,0.23,9305,0
20120711,0.23,0.24,0.23,0.24,320,0
20120712,0.24,0.24,0.24,0.24,3001,0
20120717,0.23,0.23,0.23,0.23,4958,0
20120718,0.23,0.23,0.21,0.23,161420,0
20120725,0.23,0.24,0.23,0.24,2524,0
20120726,0.23,0.23,0.23,0.23,5738,0
20120731,0.23,0.23,0.23,0.23,6168,0
20120803,0.23,0.23,0.22,0.23,10100,0
20120807,0.23,0.23,0.22,0.22,2000,0
20120808,0.21,0.21,0.21,0.21,15000,0
20120809,0.21,0.21,0.21,0.21,2000,0
20120810,0.2,0.22,0.19,0.2,10502,0
20120813,0.2,0.24,0.2,0.24,12662,0
20120814,0.23,0.28,0.23,0.28,17592,0
20120816,0.29,0.3,0.29,0.3,19883,0
20120817,0.3,0.31,0.3,0.31,2634,0
20120820,0.31,0.34,0.31,0.34,52242,0
20120821,0.34,0.34,0.32,0.32,600,0
20120822,0.32,0.32,0.32,0.32,2176,0
20120823,0.32,0.33,0.32,0.33,2100,0
20120824,0.34,0.34,0.3,0.32,4100,0
20120827,0.32,0.32,0.32,0.32,7743,0
20120828,0.32,0.33,0.32,0.33,1876,0
20120829,0.33,0.33,0.33,0.33,3990,0
20120830,0.34,0.34,0.33,0.34,8390,0
20120831,0.34,0.37,0.34,0.37,29382,0
20120903,0.37,0.41,0.37,0.41,25803,0
20120904,0.41,0.41,0.41,0.41,200,0
20120905,0.41,0.41,0.37,0.37,1100,0
20120906,0.37,0.4,0.37,0.4,1533,0
20120907,0.4,0.42,0.4,0.41,20437,0
20120910,0.42,0.42,0.4,0.4,14956,0
20120911,0.39,0.39,0.36,0.39,25000,0
20120913,0.37,0.38,0.35,0.38,9217,0
20120914,0.39,0.39,0.39,0.39,115,0
20120919,0.38,0.38,0.38,0.38,186190,0
20120920,0.38,0.38,0.38,0.38,32000,0
20120921,0.39,0.39,0.39,0.39,21885,0
20120924,0.4,0.41,0.4,0.41,28358,0
20120925,0.42,0.42,0.42,0.42,1000,0
20120926,0.42,0.43,0.41,0.43,12000,0
20120927,0.42,0.42,0.42,0.42,1000,0
20121001,0.42,0.42,0.4,0.4,6730,0
20121002,0.41,0.41,0.41,0.41,9300,0
20121003,0.41,0.42,0.41,0.42,10750,0
20121004,0.43,0.55,0.43,0.52,40798,0
20121005,0.5,0.5,0.5,0.5,1000,0
20121008,0.49,0.64,0.45,0.58,25997,0
20121009,0.61,0.61,0.57,0.59,3360,0
20121010,0.6,0.63,0.57,0.59,11191,0
20121011,0.61,0.64,0.61,0.64,7410,0
20121012,0.65,0.84,0.65,0.74,67962,0
20121015,0.76,0.79,0.73,0.77,14150,0
20121016,0.77,0.77,0.71,0.75,16774,0
20121017,0.76,0.84,0.74,0.84,8417,0
20121018,0.9,0.95,0.85,0.9,105267,0
